latitude,longitude,altitude,geometry,HID,Type,Kodomo,Name,Label,AgeS,AgeE,Full,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Add1,Add2,TEL,FAX,Owner,Ownership,Proof,Shanai,Y,X,url,Vacancy,VacancyDate
35.681172,139.371875,,Point,1089,認可保育所,,ひなた保育園,ひなた保育園,産休明け,,125,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:30まで,,Y,,,八王子市,石川町1094-2,,,社会福祉法人鶴見会,私,,,35.681172,139.371875,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.665418,139.36041,,Point,1090,認可保育所,,敬愛ハーモニー保育園,敬愛ハーモニー保育園,産休明け,,70,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,大和田町二丁目20-2,,,社会福祉法人敬愛学園,私,,,35.665418,139.36041,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.627856,139.331914,,Point,1091,認可保育所,,さゆりの丘保育園,さゆりの丘保育園,産休明け,,160,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:30まで,,,,,八王子市,宇津貫町945,,,社会福祉法人愛信芳主会,私,,,35.627856,139.331914,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.635839,139.388926,,Point,1092,認可保育所,,わらべ里山保育園,わらべ里山保育園,産休明け,,102,07:15,18:15,,祝日及び12/29～1/3は休園、延長保育20:15まで,,Y,,,八王子市,堀之内1200,,,社会福祉法人清心福祉会,私,,,35.635839,139.388926,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.647989,139.298908,,Point,1093,認可保育所,,敬愛クレヨン保育園,敬愛クレヨン保育園,産休明け,,80,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,散田町五丁目8-20,,,社会福祉法人敬愛学園,私,,,35.647989,139.298908,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.636835,139.310979,,Point,1094,認可保育所,,白百合椚田保育園,白百合椚田保育園,産休明け,,100,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,Y,,,八王子市,椚田町529-5,,,社会福祉法人愛和会,私,,,35.636835,139.310979,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.666681,139.327121,,Point,1095,認可保育所,,フエロー第二保育園,フエロー第二保育園,産休明け,,35,07:15,18:15,,祝日及び12/29～1/3は休園、延長保育なし,,,,,八王子市,中野上町一丁目15-8,,,社会福祉法人八王子ふじみ会,私,,,35.666681,139.327121,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.610167,139.361262,,Point,1096,認可保育所,,若葉の丘保育園,若葉の丘保育園,3か月,,105,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,鑓水二丁目77,,,社会福祉法人明王会,私,,,35.610167,139.361262,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.626579,139.400427,,Point,1097,認可保育所,,駅前なかよし保育園第２,駅前なかよし保育園第２,3歳,,120,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,Y,,,八王子市,堀之内三丁目30-7,,,社会福祉法人育美会,私,,,35.626579,139.400427,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.645399,139.351267,,Point,1098,認可保育所,,北野ひなた保育園,北野ひなた保育園,産休明け,,79,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:30まで,,,,,八王子市,打越町2003-4　,,,社会福祉法人鶴見会,私,,,35.645399,139.351267,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.639651,139.283018,,Point,1099,認可保育所,,みころん保育園,みころん保育園,産休明け,,50,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,初沢町1303番地,,,学校法人松徳学園,私,,,35.639651,139.283018,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
